,Address,Suburb,Price,Bedrooms,Bathrooms,Garage,Land_Area,Floor_Area,Build_Year,Cbd_Dist,Nearest_Stn,Nearest_Stn_Dist,Date_Sold,Postcode,Nearest_Sch,Nearest_Sch_Dist
9153,2/40 Merley Way,Parkwood,395000,3,1,1,109,104,1977,11.6,Thornlie Station,3.3,10-2015,6147,Lynwood Senior High School,0.3
9154,2/403 Coode Street,Dianella,258000,2,1,2,859,78,1991,6.8,Mount Lawley Station,4.5,09-2019,6059,Carmel School,2.0
9155,2/41 Pether Road,Manning,720000,4,2,2,507,162,1999,6.6,Canning Bridge Station,1.5,10-2017,6152,Como Secondary College,0.8
9156,2/41 Renwick Street,South Perth,695000,3,2,2,836,217,1994,4.1,Claisebrook Station,4.2,12-2018,6151,Wesley College,0.9
9157,2/42 John Street,North Fremantle,660000,3,1,1,1917,123,1993,13.4,North Fremantle Station,0.7,12-2016,6159,John Curtin College Of The Arts,1.5
9158,2/42 Marquis Street,Bentley,675000,6,5,2,259,174,2004,7.5,Welshpool Station,3.0,09-2016,6102,Canning College,0.2
9159,2/427 Rokeby Road,Shenton Park,1040000,3,2,2,160,145,2004,3.4,Subiaco Station,1.4,06-2017,6008,Perth Modern School,1.8
9160,2/45 Ferguson Street,Middle Swan,440000,4,2,2,442,170,2012,18.3,Midland Station,3.5,12-2012,6056,Swan Christian College,1.3
9161,2/46 Porter Street,Gwelup,870000,4,3,2,301,259,2010,11.0,Warwick Station,2.8,07-2019,6018,Balcatta Senior High School,1.6
9162,2/49 Henning Crescent,Manning,640000,4,2,2,493,151,1996,7.0,Canning Bridge Station,1.6,09-2017,6152,Como Secondary College,1.1
9163,2/5 Aurelian Street,Palmyra,365000,2,1,1,2152,78,1981,12.9,Fremantle Station,3.1,08-2018,6157,John Curtin College Of The Arts,2.0
9164,2/5 Marsh Road,Mount Richon,400000,3,2,2,356,139,2014,27.4,Armadale Station,0.7,04-2015,6112,Armadale Senior High School,0.6
9165,2/5 Martha Street,Beaconsfield,950000,3,2,2,403,171,1990,15.9,Fremantle Station,2.0,03-2019,6162,Fremantle College,1.0
9166,2/5 Park Road,Midvale,305000,2,1,1,221,78,1988,18.0,Midland Station,3.1,06-2014,6056,Swan View Senior High School,1.0
9167,2/5 Silas Street,East Fremantle,520000,2,2,1,138,99,2007,13.4,North Fremantle Station,1.8,09-2019,6158,John Curtin College Of The Arts,1.0
9168,2/5 Waterway Court,Churchlands,360000,2,1,1,5220,80,1988,6.0,Shen,3.3,11-2016,6018,Newman College,1.5
9169,2/51 Rule Street,North Fremantle,2050000,4,3,2,2198,290,1905,13.0,North Fremantle Station,0.3,09-2016,6159,John Curtin College Of The Arts,2.2
9170,2/53 Comer Street,Como,940000,4,3,3,1010,176,1988,4.5,Canning Bridge Station,2.1,01-2020,6152,Penrhos College,1.1
9171,2/57 Fourth Avenue,Bassendean,345000,3,2,1,879,120,2012,10.8,Success Hill Station,0.7,11-2019,6054,Cyril Jackson Senior Campus,2.2
9172,2/6 Cooke Close,Kiara,495000,4,2,1,596,189,1989,10.4,Ashfield Station,3.0,07-2014,6054,Kiara College,0.9
9173,2/6 Grasmere Court,Brentwood,565000,3,2,2,4934,220,1992,10.2,Bull Creek Station,0.4,08-2013,6153,All Saints' College,1.2
9174,2/6 Paddington Court,Bibra Lake,360000,3,1,2,112,80,1997,15.8,Murdoch Station,4.3,10-2016,6163,Perth Waldorf School,0.6
9175,2/6 Widdicombe Street,Myaree,510000,3,1,2,213,112,2001,11.1,Bull Creek Station,4.2,09-2017,6154,Melville Senior High School,0.5
9176,2/60 Marlboro Road,Swan View,235000,3,1,1,202,90,1987,19.2,Midland Station,4.4,05-2019,6056,Swan View Senior High School,0.2
9177,2/61 Rochester Avenue,Beckenham,235000,3,1,1,224,77,1994,13.4,Kenwick Station,0.9,11-2017,6107,Rehoboth Christian College,0.9
9178,2/61 Whaleback Avenue,Parkwood,465000,3,2,2,283,116,2008,12.3,Thornlie Station,3.0,01-2016,6147,Lynwood Senior High School,0.9
9179,2/65 Dover Road,Scarborough,580000,3,1,1,1012,118,1989,10.3,Stirling Station,3.9,09-2020,6019,International School Of Western Australia,1.4
9180,2/66 Corbel Street,Shelley,518000,3,1,2,228,98,1990,8.8,Canning Bridge Station,3.9,11-2016,6148,Clontarf Aboriginal College,1.2
9181,2/66 Kathleen Street,Bassendean,433000,3,1,1,481,123,1990,9.4,Bassendean Station,0.7,05-2020,6054,Cyril Jackson Senior Campus,0.4
9182,2/69 Hutton Street,Stirling,340000,3,1,1,4986,77,1990,6.8,Glendalough Station,1.7,10-2020,6021,Servite College,1.1
9183,2/7 Bishopsgate Street,Lathlain,537000,3,1,2,200,105,1989,4.9,Vic,0.3,06-2014,6100,St Clare'S School,0.4
9184,2/7 Chapman Road,St James,379000,3,1,1,1012,76,1998,7.3,Welshpool Station,1.5,05-2016,6102,Canning College,1.4
9185,2/7 Rosa Place,Spearwood,425000,3,1,2,295,110,1998,19.7,Cockburn Central Station,7.2,02-2018,6163,Port School,3.8
9186,2/72 Hodgson Street,Tuart Hill,475000,3,2,1,218,136,1995,5.5,Glendalough Station,1.8,09-2018,6060,Servite College,0.6
9187,2/76 Peninsula Road,Maylands,527000,3,2,2,1033,148,2003,4.4,Meltham Station,1.8,04-2019,6051,Perth College,2.7
9188,2/8 Batsford Way,Canning Vale,450000,3,2,2,840,170,2006,17.1,Thornlie Station,4.7,01-2020,6155,Providence Christian College,1.4
9189,2/8 Benson Court,Mount Nasura,345000,3,2,2,349,169,2015,25.4,Sherwood Station,0.8,07-2016,6112,Sowilo Community High School,1.0
9190,2/8 Heron Place,Maddington,265000,3,1,1,194,97,1993,15.6,Madding,0.9,09-2017,6109,St Francis' School,1.2
9191,2/8 Johnston Street,Peppermint Grove,1300000,3,2,2,744,235,1994,10.9,Mosman Park Station,0.5,02-2007,6011,St Hilda'S Anglican School For Girls,0.7
9192,2/96 North Beach Road,North Beach,840000,4,2,2,468,170,1997,13.7,Warwick Station,3.6,03-2016,6020,Carine Senior High School,1.5
9193,2/99 Main Street,Osborne Park,291000,2,1,1,2023,72,1981,6.0,Glendalough Station,1.2,06-2017,6017,Servite College,0.6
9194,20 Acacia Road,Maida Vale,555000,5,2,2,1062,235,1973,16.1,Midland Station,7.0,11-2015,6057,Darling Range Sports College,3.3
9195,20 Acastus Road,Wattle Grove,575000,5,2,2,600,256,2009,12.9,Madding,5.8,08-2020,6107,Darling Range Sports College,3.4
9196,20 Ada Street,Watermans Bay,2390000,5,2,2,1024,271,1998,15.1,Warwick Station,4.1,10-2019,6020,Carine Senior High School,2.1
9197,20 Adair Avenue,Mount Nasura,650000,5,3,4,6290,191,1999,25.7,Sherwood Station,1.7,06-2019,6112,Sowilo Community High School,1.7
9198,20 Albert Road,Lesmurdie,1070000,4,3,4,2225,360,1991,19.2,Madding,7.4,11-2018,6076,Lesmurdie Senior High School,0.3
9199,20 Aldine Ridge,Aveley,330000,3,2,6,375,115,2015,23.4,Woodbridge Station,12.9,09-2018,6069,Holy Cross College,1.8
9200,20 Alistair Street,Huntingdale,420000,4,1,1,759,142,1971,16.9,Gosnells Station,2.8,01-2016,6110,Thornlie Senior High School,1.1
9201,20 Allen Street,East Fremantle,1695000,4,2,2,1088,178,1920,13.0,North Fremantle Station,2.2,12-2019,6158,John Curtin College Of The Arts,1.5
9202,20 Allendale Entrance,North Lake,740000,4,2,2,624,222,2000,14.5,Murdoch Station,1.9,02-2011,6163,Leeming Senior High School,1.5
9203,20 Alvaston Drive,Carine,795000,4,2,2,783,192,1977,13.8,Warwick Station,1.9,04-2017,6020,Carine Senior High School,0.4
9204,20 Anacapri Road,Hillarys,1300000,5,2,3,705,304,2000,18.3,Greenwood Station,3.4,10-2019,6025,Sacred Heart College,1.1
9205,20 Arcadia Crescent,Bateman,1150000,5,2,2,519,265,2006,10.9,Bull Creek Station,0.5,10-2014,6150,Corpus Christi College,1.1
9206,20 Archer Street,Pearsall,485000,4,2,2,300,133,2010,19.3,Edgewater Station,3.6,04-2017,6065,Alta-1,0.3
9207,20 Arkwell Way,Marmion,770000,3,2,1,720,254,2016,15.9,Warwick Station,3.9,05-2012,6020,Sacred Heart College,1.6
9208,20 Arnisdale Road,Duncraig,650000,3,1,2,691,126,1975,14.6,Warwick Station,1.3,01-2020,6023,Greenwood College,1.0
9209,20 Aster Close,Beeliar,425000,4,2,4,499,148,2002,20.0,Cockburn Central Station,3.7,08-2018,6164,Divine Mercy College,0.8
9210,20 Astrolabe Way,Swan View,465000,4,2,2,464,172,2010,19.0,Midland Station,4.0,08-2016,6056,Swan View Senior High School,1.1
9211,20 Bailey Street,Trigg,1400000,4,2,2,512,202,1998,13.5,Warwick Station,4.9,04-2017,6029,St Mary'S Anglican Girls' School,1.4
9212,20 Bambee Court,Serpentine,680000,4,2,2,4177,230,2004,48.2,Armadale Station,24.6,12-2014,6125,Court Grammar School,11.6
9213,20 Bangalla Place,Balcatta,600000,3,1,1,712,132,1971,9.5,Stirling Station,3.3,05-2018,6021,Balcatta Senior High School,1.4
9214,20 Bardeen Pass,Carramar,575000,4,2,2,603,222,2010,27.8,Currambine Station,4.8,10-2020,6031,Joseph Banks Secondary College,1.1
9215,20 Barnsbury Road,Warwick,207000,3,1,1,730,143,1970,12.9,Warwick Station,0.9,04-2015,6024,Warwick Senior High School,1.2
9216,20 Barracuda Court,Sorrento,970000,5,2,2,815,247,1988,17.5,Greenwood Station,2.7,12-2017,6020,Sacred Heart College,1.0
9217,20 Baton Rouge Drive,Mindarie,1030000,4,2,2,702,317,2004,33.1,Clarkson Station,3.0,02-2020,6030,Mindarie Senior College,0.8
9218,20 Baycliff Turn,Waikiki,267000,3,2,2,268,109,2007,42.3,Warnbro Station,1.2,05-2019,6169,South Coast Baptist College,0.7
9219,20 Benjamin Street,Armadale,160000,3,1,4,835,114,1960,26.3,Armadale Station,0.6,05-2019,6112,John Calvin Christian College,0.4
9220,20 Bernard Street,Kelmscott,518000,4,3,2,903,271,2003,25.4,Challis Station,2.1,08-2020,6111,Kelmscott Senior High School,2.3
9221,20 Bernard Street,West Leederville,1400000,3,2,2,240,188,1910,2.9,West Leederville Station,0.6,03-2018,6007,Perth Modern School,0.9
9222,20 Beroona Place,Jane Brook,530000,4,2,4,951,242,2004,20.9,Midland Station,5.8,06-2019,6056,Swan View Senior High School,2.5
9223,20 Beryl Avenue,Shelley,1232000,3,3,2,789,247,1982,8.7,Canning Bridge Station,3.5,10-2016,6148,Clontarf Aboriginal College,1.4
9224,20 Beukers Way,Piara Waters,615000,4,2,2,576,261,2013,21.7,Cockburn Central Station,5.6,12-2018,6112,Carey Baptist College,3.9
9225,20 Beverley Street,Coolbinia,895000,3,2,4,777,167,1958,4.5,Glendalough Station,2.9,09-2008,6050,Carmel School,1.7
9226,20 Bindoon Loop,Huntingdale,434000,3,2,2,600,143,2002,18.1,Seaforth Station,4.5,01-2016,6110,Southern River College,1.5
9227,20 Birrigon Loop,Swanbourne,1365000,4,3,2,336,205,2010,8.9,Swanbourne Station,1.2,12-2017,6010,Scotch College,1.1
9228,20 Blue Mountain Link,Merriwa,370000,4,2,4,533,242,2006,35.3,Butler Station,3.0,01-2017,6030,Alkimos Baptist College,0.2
9229,20 Bonanza Court,Huntingdale,380000,4,2,6,541,126,1998,17.2,Thornlie Station,3.7,05-2016,6110,Thornlie Senior High School,1.5
9230,20 Bourke Street,Kensington,764000,3,1,2,797,87,1950,4.4,Carlisle Station,2.7,12-2018,6151,Kent Street Senior High School,0.9
9231,20 Bowkett Street,Redcliffe,507000,4,2,2,614,205,2002,8.6,Bassendean Station,5.0,07-2018,6104,Belmont City College,1.9
9232,20 Brassey Street,Swanbourne,1355000,3,2,2,413,236,1998,9.0,Swanbourne Station,0.6,03-2017,6010,Scotch College,0.6
9233,20 Bremer Court,Jane Brook,480000,4,2,2,600,166,2000,20.5,Midland Station,5.6,02-2017,6056,Swan Christian College,3.2
9234,20 Brigalow Bend,Ellenbrook,430000,4,2,3,627,193,2009,24.7,East Guildford Station,15.5,09-2019,6069,Holy Cross College,2.0
9235,20 Bristle Avenue,Southern River,392000,3,2,2,408,149,2009,18.7,Thornlie Station,6.6,03-2020,6110,Carey Baptist College,0.7
9236,20 Brockwell Place,Hillarys,849000,4,2,2,846,214,1992,20.4,Whitfords Station,3.9,08-2020,6025,St Mark'S Anglican Community School,0.1
9237,20 Brooking Road,Mahogany Creek,520000,4,1,3,2228,198,1928,26.2,Midland Station,12.4,07-2015,6072,Helena College,3.7
9238,20 Brownrigg Street,Singleton,392000,4,1,4,971,104,1982,55.5,Mandurah Station,9.4,05-2016,6175,Comet Bay College,3.1
9239,20 Bruning Road,Manning,710000,4,2,2,462,168,1995,6.3,Canning Bridge Station,1.6,09-2018,6152,Como Secondary College,0.5
9240,20 Burdett Retreat,Murdoch,635000,3,2,2,500,141,1989,12.3,Murdoch Station,2.0,09-2014,6150,Corpus Christi College,1.2
9241,20 Burlington Street,St James,525000,3,1,2,352,125,1997,6.7,Oats Street Station,1.1,04-2018,6102,Kent Street Senior High School,1.8
9242,20 Butson Street,Hilton,601000,3,2,2,462,73,1950,15.2,Fremantle Station,4.6,10-2020,6163,Seton Catholic College,0.7
9243,20 Cairnsmore Chase,Kinross,500000,4,2,2,613,184,1994,28.0,Currambine Station,0.7,04-2017,6028,Lake Joondalup Baptist College,2.4
9244,20 Calautti Court,Gwelup,690000,4,2,2,515,182,2003,11.1,Warwick Station,2.5,06-2015,6018,Balcatta Senior High School,1.6
9245,20 Calista Avenue,Calista,335000,4,2,2,860,160,1961,32.6,Wellard Station,2.6,04-2012,6167,Gilmore College,0.8
9246,20 Callistemon Close,Helena Valley,595000,4,2,2,617,210,1997,16.7,Midland Station,4.1,04-2016,6056,Swan View Senior High School,3.7
9247,20 Callow Drive,Bullsbrook,730000,4,3,2,25601,227,2001,38.0,Midland Station,26.4,02-2020,6084,Holy Cross College,15.4
9248,20 Camballin Loop,Bertram,390000,4,2,2,565,187,2009,32.0,Kwinana Station,0.9,10-2017,6167,The King'S College,2.0
9249,20 Cambey Way,Brentwood,730000,3,2,2,321,132,2008,10.3,Bull Creek Station,0.6,12-2014,6153,Corpus Christi College,1.5
9250,20 Camelia Street,North Perth,685000,3,2,4,260,130,1994,2.0,Leederville Station,1.6,11-2018,6006,Aranmore Catholic College,1.5
9251,20 Campus Way,Churchlands,1310000,4,3,2,302,234,2014,6.9,Glendalough Station,3.1,06-2015,6018,Newman College,0.6
9252,20 Capstone Way,Marangaroo,720000,5,2,2,754,271,1985,14.4,Warwick Station,3.6,04-2019,6064,Kingsway Christian College,1.8
9253,20 Cara Road,Greenmount,435000,3,1,1,1299,128,1969,18.4,Midland Station,4.1,12-2017,6056,Swan View Senior High School,1.4
9254,20 Carawatha Avenue,Mount Nasura,410000,4,2,2,785,149,1990,26.4,Sherwood Station,1.5,07-2015,6112,John Calvin Christian College,1.9
9255,20 Carignan Avenue,Caversham,425000,4,2,2,540,179,2005,13.5,Guildford Station,3.4,02-2017,6055,Kiara College,2.8
9256,20 Carrabelle Street,Butler,310000,3,2,2,320,142,2012,36.2,Butler Station,2.3,01-2020,6036,Butler College,0.9
9257,20 Casitas Street,Champion Lakes,198000,3,2,2,400,173,2014,22.1,Kelmscott Station,2.2,12-2012,6111,Kelmscott Senior High School,2.0
9258,20 Cavender Street,Singleton,315000,4,2,3,822,123,1994,56.3,Mandurah Station,8.6,08-2018,6175,Mandurah Baptist College,3.1
9259,20 Caversham Bend,Southern River,580000,4,2,2,560,250,2006,18.5,Thornlie Station,6.5,08-2018,6110,Providence Christian College,0.5
9260,20 Cayman Place,Kenwick,330000,3,2,3,540,120,1999,14.3,Kenwick Station,0.7,11-2018,6107,Rehoboth Christian College,0.3
9261,20 Cerulean Road,Karnup,390000,4,2,2,450,239,2015,55.6,Mandurah Station,9.3,08-2017,6176,Comet Bay College,3.3
9262,20 Chatham Road,Woodbridge,460000,3,1,1,506,137,1918,14.3,Woodbridge Station,0.3,08-2016,6056,Governor Stirling Senior High School,0.7
9263,20 Chelmorton Loop,Carine,785000,4,2,4,714,244,1983,13.6,Warwick Station,2.4,04-2018,6020,Carine Senior High School,0.2
9264,20 Cheltenham Loop,Bertram,300000,3,2,2,300,129,2008,32.3,Kwinana Station,0.8,03-2018,6167,The King'S College,1.4
9265,20 Christchurch Terrace,Currambine,725000,4,2,2,706,278,2001,26.0,Currambine Station,1.3,10-2019,6028,Lake Joondalup Baptist College,0.9
9266,20 Christina Street,Hazelmere,500000,3,1,1,1024,110,1968,14.0,Woodbridge Station,0.9,05-2013,6055,Governor Stirling Senior High School,1.2
9267,20 Cinnabar Bend,Aveley,432500,4,2,2,450,199,2012,23.4,Woodbridge Station,13.4,06-2020,6069,Holy Cross College,1.2
9268,20 City Vista,Kalamunda,950000,6,3,3,2049,359,2013,17.5,Midland Station,8.9,07-2017,6076,Kalamunda Senior High School,2.0
9269,20 Clearwater Way,Singleton,412000,4,2,2,559,180,2006,54.8,Mandurah Station,10.1,05-2016,6175,Comet Bay College,2.4
9270,20 Clematis Road,Woodlands,1875000,6,3,5,735,504,1995,8.0,Stirling Station,1.5,11-2014,6018,Hale School,1.4
9271,20 Clonmel Mews,Waterford,1040000,5,2,2,583,249,2004,7.5,Canning Bridge Station,3.4,09-2015,6152,Clontarf Aboriginal College,0.2
9272,20 Colebrook Circle,Secret Harbour,355000,4,2,2,602,173,2001,51.5,Warnbro Station,9.1,02-2020,6173,Comet Bay College,0.8
9273,20 Conigrave Road,Yangebup,355000,4,2,2,682,136,1991,19.4,Cockburn Central Station,4.6,12-2020,6164,Divine Mercy College,1.5
9274,20 Coogee Street,Mount Hawthorn,1150000,4,2,2,470,150,1999,3.7,Leederville Station,1.7,06-2017,6016,Aranmore Catholic College,0.6
9275,20 Coral Road,Safety Bay,369000,3,1,1,809,107,1969,41.2,Rockingham Station,3.0,09-2017,6169,Safety Bay Senior High School,0.6
9276,20 Cosmos Street,East Cannington,415000,4,2,3,688,149,1976,12.2,Kenwick Station,3.3,11-2020,6107,Sevenoaks Senior College,2.7
9277,20 Courtland Crescent,Redcliffe,485000,4,2,2,420,157,1998,8.9,Success Hill Station,5.7,11-2016,6104,Belmont City College,1.9
9278,20 Crake Street,Ascot,680000,4,2,2,362,222,2003,5.6,Bayswater Station,2.0,08-2018,6104,Chisholm Catholic College,3.1
9279,20 Craven Road,Mahogany Creek,153500,4,2,2,2244,244,1969,27.4,Midland Station,13.4,04-2001,6072,Mundaring Christian College,3.6
9280,20 Crossford Street,Thornlie,252000,3,1,2,769,104,1967,15.8,Kenwick Station,2.5,11-2018,6108,Thornlie Senior High School,1.2
9281,20 Croydon Street,Bellevue,445000,3,1,1,741,113,1950,17.7,Midland Station,3.5,04-2016,6056,Swan View Senior High School,1.6
9282,20 Crystal Turn,Bennett Springs,543000,4,2,2,558,205,2003,12.7,Bassendean Station,4.8,05-2017,6063,Kiara College,1.8
9283,20 Currawong Drive,Gooseberry Hill,695000,5,2,2,2238,200,1979,17.7,Midland Station,8.9,10-2014,6076,Kalamunda Senior High School,2.0
9284,20 Cutter Crescent,Beldon,435000,3,1,1,683,91,1976,22.1,Edgewater Station,1.9,05-2017,6027,Belridge Secondary College,0.5
9285,20 Daintree Court,Merriwa,356000,4,2,2,613,130,1992,34.5,Clarkson Station,3.4,05-2017,6030,Alkimos Baptist College,0.9
9286,20 Dalecross Avenue,Madeley,760000,4,3,3,660,289,2003,16.3,Greenwood Station,3.8,10-2018,6065,The Montessori School,1.4
9287,20 Daleford Way,Southern River,566000,4,2,2,585,266,2011,18.9,Thornlie Station,6.4,03-2018,6110,Providence Christian College,1.0
9288,20 Dalkeith Road,Nedlands,1400000,3,2,2,1037,138,1947,5.9,Karrakatta Station,1.0,07-2019,6009,Shenton College,1.7
9289,20 Dalrymple Drive,Leda,290000,3,1,1,506,95,1995,35.1,Wellard Station,1.0,12-2014,6170,Peter Carnley Anglican Community School,1.2
9290,20 Dean Road,Jandakot,915000,3,2,2,720,256,2003,16.5,Cockburn Central Station,2.7,06-2014,6164,Lakeland Senior High School,1.3
9291,20 Delapre Drive,The Vines,560000,5,2,3,833,250,2014,25.1,Woodbridge Station,15.0,05-2018,6069,Holy Cross College,2.4
9292,20 Derry Lane,Mosman Park,1850000,3,2,2,372,299,2009,12.3,North Fremantle Station,1.1,06-2017,6012,Iona Presentation College,1.8
9293,20 Dorado Beach Crescent,Connolly,665000,4,2,2,776,235,1991,25.3,Joondalup Station,2.1,06-2016,6027,Prendiville Catholic College,1.1
9294,20 Downey Drive,Manning,769000,5,2,3,800,158,1955,6.7,Canning Bridge Station,1.0,01-2019,6152,Como Secondary College,1.1
9295,20 Dumbarton Crescent,Menora,1685000,4,3,4,737,270,1950,3.5,Perth Station,3.4,10-2014,6050,Mount Lawley Senior High School,1.0
9296,20 Dumsday Drive,Forrestdale,305000,3,1,2,809,132,1972,23.1,Armadale Station,7.0,01-2010,6112,Carey Baptist College,4.1
9297,20 Dunlin Way,Gwelup,790000,4,2,2,513,200,2003,11.3,Warwick Station,2.2,03-2019,6018,Balcatta Senior High School,1.8
9298,20 Edgefield Way,North Beach,647000,3,2,2,341,88,1970,13.3,Warwick Station,3.3,10-2020,6020,Carine Senior High School,1.2
9299,20 Edwards Entrance,Stratton,330000,3,1,1,360,119,1992,19.5,Midland Station,4.5,08-2015,6056,Swan View Senior High School,2.0
9300,20 Edwards Street,Leda,316000,4,1,2,755,160,1991,34.5,Wellard Station,1.1,04-2016,6170,Peter Carnley Anglican Community School,0.8
9301,20 Elderiana Link,Banksia Grove,441000,4,2,2,521,209,2014,29.1,Clarkson Station,6.8,10-2017,6031,Joseph Banks Secondary College,1.4
9302,20 Elwood Loop,Oakford,645000,4,2,2,10742,234,2016,32.0,Kwinana Station,10.7,10-2018,6121,Byford Secondary College,4.3
9303,20 Epping Grove,Kallaroo,1080000,4,2,2,990,294,1985,21.1,Whitfords Station,4.1,11-2019,6025,St Mark'S Anglican Community School,0.8
9304,20 Eva Lynch Way,Warnbro,325000,4,2,2,538,136,2001,45.3,Warnbro Station,2.7,01-2019,6169,Warnbro Community High School,0.9
9305,20 Ewart Street,Midvale,301500,4,1,1,1053,143,1946,16.9,Midland Station,2.0,10-2012,6056,Youth Futures Community School,1.5
9306,20 Exmouth Vista,Gwelup,892000,5,2,2,596,257,1998,11.5,Warwick Station,2.1,10-2020,6018,Balcatta Senior High School,2.0
9307,20 Fairlight Rise,Kallaroo,1330000,4,3,2,937,308,2006,21.3,Whitfords Station,4.2,04-2016,6025,St Mark'S Anglican Community School,1.0
9308,20 Farmhouse Drive,Bibra Lake,510000,3,2,1,700,133,1986,16.3,Murdoch Station,3.7,12-2015,6163,Lakeland Senior High School,1.4
9309,20 Ferguson Street,Middle Swan,412000,3,2,2,503,154,2013,18.0,Midland Station,3.4,10-2020,6056,Swan Christian College,1.2
9310,20 Finney Crescent,Marmion,825000,4,2,1,749,167,1979,15.5,Warwick Station,3.2,06-2015,6020,Carine Senior High School,1.9
9311,20 Firenze Loop,Landsdale,785000,5,2,3,606,234,2008,14.8,Greenwood Station,7.2,02-2018,6065,Landsdale Christian School,1.6
9312,20 Firmstone Circle,Landsdale,489000,4,2,2,616,225,2003,17.2,Whitfords Station,7.2,03-2020,6065,Landsdale Christian School,1.3
9313,20 Floreat Avenue,Floreat,1565000,5,2,2,1176,279,1952,6.3,Karrakatta Station,3.4,06-2020,6014,Newman College,1.8
9314,20 Floyd Street,Trigg,1201000,3,1,1,637,175,1975,13.3,Warwick Station,5.0,06-2016,6029,St Mary'S Anglican Girls' School,1.3
9315,20 Ford Street,Woodbridge,1150000,3,2,1,2630,226,1919,14.4,Woodbridge Station,0.2,10-2010,6056,Governor Stirling Senior High School,0.3
9316,20 Forge Lane,Henley Brook,510500,4,2,2,690,179,2004,20.6,East Guildford Station,11.0,09-2013,6055,Swan Valley Anglican Community School,0.8
9317,20 Frederic Street,Helena Valley,550000,4,2,2,1012,201,1950,17.8,Midland Station,4.3,11-2014,6056,Swan View Senior High School,2.6
9318,20 Galileo Avenue,Tapping,495000,4,2,2,628,246,2007,26.2,Currambine Station,5.0,03-2020,6065,Joseph Banks Secondary College,2.6
9319,20 Gameson Way,Girrawheen,405000,3,1,3,761,128,1984,12.3,Warwick Station,3.8,11-2016,6064,Girrawheen Senior High School,0.9
9320,20 Gardon Rise,Gwelup,605000,4,2,2,450,128,1994,9.6,Stirling Station,1.5,08-2018,6018,Balcatta Senior High School,1.4
9321,20 George Street,Jarrahdale,450000,4,2,2,1062,127,1998,47.4,Armadale Station,21.3,02-2011,6124,Court Grammar School,10.4
9322,20 George Street,North Beach,1250000,3,2,2,255,202,2013,14.3,Warwick Station,4.2,05-2017,6020,Carine Senior High School,2.1
9323,20 Georgina Street,Hilbert,403000,4,2,2,432,153,2013,26.6,Armadale Station,2.4,06-2014,6112,Dale Christian School,0.9
9324,20 Gillen Way,Success,600000,4,2,2,543,226,2003,20.9,Cockburn Central Station,1.6,04-2018,6164,Atwell College,0.7
9325,20 Gladys Road,Lesmurdie,590000,3,1,2,2191,152,1966,18.3,Madding,6.8,08-2018,6076,Mazenod College,0.5
9326,20 Glen Iris Drive,Jandakot,740000,3,2,2,445,332,2004,16.3,Cockburn Central Station,3.0,03-2017,6164,Lakeland Senior High School,1.4
9327,20 Goa Vista,Bennett Springs,405000,4,2,2,344,143,2010,12.6,Ashfield Station,6.0,06-2018,6063,Kiara College,2.0
9328,20 Golf links Drive,Carramar,485000,4,2,2,602,199,1998,28.3,Currambine Station,3.2,02-2017,6031,Joseph Banks Secondary College,2.0
9329,20 Goshawk Street,Tapping,506000,4,2,2,520,208,2008,26.2,Currambine Station,3.6,01-2019,6065,Joseph Banks Secondary College,2.9
9330,20 Grant Street,Woodlands,535000,3,2,1,207,102,2013,8.7,Stirling Station,1.6,11-2015,6018,International School Of Western Australia,1.2
9331,20 Gray Road,Gooseberry Hill,765000,3,2,4,2351,155,1950,16.8,Midland Station,8.1,12-2016,6076,Kalamunda Senior High School,2.9
9332,20 Greenough Court,Jane Brook,485000,4,2,2,708,169,1999,20.8,Midland Station,5.9,06-2016,6056,Swan View Senior High School,3.4
9333,20 Gregory Street,Belmont,400000,3,2,1,476,120,1999,7.6,Ashfield Station,4.1,01-2017,6104,Belmont City College,1.1
9334,20 Grose Way,Noranda,695000,4,2,2,700,192,1981,9.3,Maylands Station,6.1,09-2018,6062,Morley Senior High School,0.7
9335,20 Grover Way,Medina,299000,3,1,2,728,110,1954,31.9,Kwinana Station,3.9,02-2015,6167,Gilmore College,1.3
9336,20 Guinivere Way,Camillo,312000,4,2,2,680,120,1991,22.6,Kelmscott Station,0.7,11-2017,6111,John Wollaston Anglican Community School,0.9
9337,20 Harmony Parade,Singleton,450000,4,2,2,751,240,2000,55.3,Mandurah Station,9.6,06-2015,6175,Comet Bay College,2.9
9338,20 Harris Street,Carlisle,435000,3,2,2,290,116,2003,7.1,Carlisle Station,1.4,08-2018,6101,Australian Islamic College - Kewdale,0.6
9339,20 Hartwell Street,Coolbinia,1005000,4,1,1,795,222,1956,4.6,Glendalough Station,3.0,06-2010,6050,Carmel School,1.6
9340,20 Harwood Street,Hilton,300000,3,1,2,644,93,1953,14.3,Fremantle Station,4.2,11-2015,6163,Seton Catholic College,1.1
9341,20 Haysom Street,Trigg,1295000,4,2,4,505,200,1970,13.3,Warwick Station,4.9,09-2020,6029,St Mary'S Anglican Girls' School,1.2
9342,20 Henson Way,Clarkson,520000,4,2,2,574,223,2004,32.0,Clarkson Station,0.7,11-2020,6030,Clarkson Community High School,1.1
